,Close,Signal,capital,shares
185,748.189697265625,-1.0,12040.263916015625,0
186,742.13671875,-1.0,12040.263916015625,0
187,757.5172729492188,-1.0,12040.263916015625,0
188,769.7720947265625,-1.0,12040.263916015625,0
189,776.8670043945312,-1.0,12040.263916015625,0
190,774.0885620117188,-1.0,12040.263916015625,0
191,773.7412719726562,-1.0,12040.263916015625,0
192,806.4869384765625,-1.0,12040.263916015625,0
193,823.3063354492188,-1.0,12040.263916015625,0
194,822.3140869140625,-1.0,12040.263916015625,0
195,811.051513671875,-1.0,12040.263916015625,0
196,800.78125,-1.0,12040.263916015625,0
197,812.7880249023438,-1.0,12040.263916015625,0
198,848.9075317382812,-1.0,12040.263916015625,0
199,864.0400390625,-1.0,12040.263916015625,0
200,861.807373046875,-1.0,12040.263916015625,0
201,857.342041015625,-1.0,12040.263916015625,0
202,856.0520629882812,-1.0,12040.263916015625,0
203,860.6661987304688,-1.0,12040.263916015625,0
204,871.4326171875,-1.0,12040.263916015625,0
205,859.9716186523438,-1.0,12040.263916015625,0
206,830.0043334960938,-1.0,12040.263916015625,0
207,822.9590454101562,-1.0,12040.263916015625,0
208,829.1608276367188,-1.0,12040.263916015625,0
209,832.5842895507812,-1.0,12040.263916015625,0
210,834.7177124023438,-1.0,12040.263916015625,0
211,828.0693359375,-1.0,12040.263916015625,0
212,829.656982421875,-1.0,12040.263916015625,0
213,828.267822265625,-1.0,12040.263916015625,0
214,828.515869140625,-1.0,12040.263916015625,0
215,812.192626953125,-1.0,12040.263916015625,0
216,790.95751953125,-1.0,12040.263916015625,0
217,797.4570922851562,-1.0,12040.263916015625,0
218,800.3843383789062,-1.0,12040.263916015625,0
219,797.0601806640625,-1.0,12040.263916015625,0
220,779.7942504882812,-1.0,12040.263916015625,0
221,757.368408203125,-1.0,12040.263916015625,0
222,765.2075805664062,-1.0,12040.263916015625,0
223,778.0081176757812,-1.0,12040.263916015625,0
224,792.049072265625,-1.0,12040.263916015625,0
225,781.8284912109375,-1.0,12040.263916015625,0
226,791.9498291015625,-1.0,12040.263916015625,0
227,788.8241577148438,-1.0,12040.263916015625,0
228,775.92431640625,-1.0,12040.263916015625,0
229,815.1199340820312,-1.0,12040.263916015625,0
230,812.5399169921875,1.0,664.705078125,14
231,818.1464233398438,1.0,664.705078125,14
232,807.03271484375,1.0,664.705078125,14
233,807.5288696289062,1.0,664.705078125,14
234,794.8771362304688,1.0,664.705078125,14
235,797.903564453125,1.0,664.705078125,14
236,805.7923583984375,1.0,664.705078125,14
237,794.4305419921875,1.0,664.705078125,14
238,788.476806640625,1.0,664.705078125,14
239,777.6608276367188,1.0,664.705078125,14
240,832.981201171875,1.0,664.705078125,14
241,837.0991821289062,1.0,664.705078125,14
242,797.407470703125,1.0,664.705078125,14
243,790.907958984375,1.0,664.705078125,14
244,783.9618530273438,1.0,664.705078125,14
245,750.3231201171875,1.0,664.705078125,14
246,739.1598510742188,1.0,664.705078125,14
247,723.332763671875,1.0,664.705078125,14
248,697.3345947265625,1.0,664.705078125,14
249,705.1240844726562,1.0,664.705078125,14
250,702.6433715820312,-1.0,10501.712280273438,0
251,704.3798828125,-1.0,10501.712280273438,0
252,697.9796142578125,-1.0,10501.712280273438,0
253,698.326904296875,-1.0,10501.712280273438,0
254,687.6597290039062,-1.0,10501.712280273438,0
255,666.4246215820312,-1.0,10501.712280273438,0
256,671.8822631835938,-1.0,10501.712280273438,0
257,676.9429931640625,-1.0,10501.712280273438,0
258,698.0292358398438,-1.0,10501.712280273438,0
259,716.23779296875,-1.0,10501.712280273438,0
260,723.183837890625,-1.0,10501.712280273438,0
261,714.7989501953125,-1.0,10501.712280273438,0
262,711.8717651367188,-1.0,10501.712280273438,0
263,725.2180786132812,-1.0,10501.712280273438,0
264,702.7426147460938,-1.0,10501.712280273438,0
265,735.8356323242188,-1.0,10501.712280273438,0
266,735.8356323242188,-1.0,10501.712280273438,0
267,754.6395874023438,-1.0,10501.712280273438,0
268,757.616455078125,-1.0,10501.712280273438,0
269,766.74560546875,-1.0,10501.712280273438,0
270,768.978271484375,-1.0,10501.712280273438,0
271,786.9883422851562,-1.0,10501.712280273438,0
272,780.0422973632812,-1.0,10501.712280273438,0
273,784.9541625976562,-1.0,10501.712280273438,0
274,768.134765625,-1.0,10501.712280273438,0
275,790.4118041992188,-1.0,10501.712280273438,0
276,787.3853149414062,-1.0,10501.712280273438,0
277,800.4835815429688,-1.0,10501.712280273438,0
278,785.549560546875,-1.0,10501.712280273438,0
279,779.0996704101562,-1.0,10501.712280273438,0
280,784.259521484375,-1.0,10501.712280273438,0
281,789.766845703125,-1.0,10501.712280273438,0
282,782.870361328125,-1.0,10501.712280273438,0
283,822.3140869140625,-1.0,10501.712280273438,0
284,807.3303833007812,-1.0,10501.712280273438,0
285,808.124267578125,-1.0,10501.712280273438,0
286,810.3072509765625,-1.0,10501.712280273438,0
287,814.7229614257812,-1.0,10501.712280273438,0
288,793.63671875,-1.0,10501.712280273438,0
289,807.0823364257812,-1.0,10501.712280273438,0
290,793.0910034179688,-1.0,10501.712280273438,0
291,793.3390502929688,-1.0,10501.712280273438,0
292,794.3313598632812,-1.0,10501.712280273438,0
293,770.9628295898438,-1.0,10501.712280273438,0
294,759.9979858398438,-1.0,10501.712280273438,0
295,774.0885620117188,-1.0,10501.712280273438,0
296,770.5162963867188,-1.0,10501.712280273438,0
297,774.2869873046875,-1.0,10501.712280273438,0
298,764.1655883789062,-1.0,10501.712280273438,0
299,764.9097900390625,-1.0,10501.712280273438,0
300,796.514404296875,-1.0,10501.712280273438,0
301,806.4869384765625,-1.0,10501.712280273438,0
302,855.307861328125,-1.0,10501.712280273438,0
303,853.8690185546875,-1.0,10501.712280273438,0
304,854.2659301757812,-1.0,10501.712280273438,0
305,858.6815795898438,-1.0,10501.712280273438,0
306,866.6199340820312,-1.0,10501.712280273438,0
307,846.1290893554688,-1.0,10501.712280273438,0
308,845.6329956054688,-1.0,10501.712280273438,0
309,880.164794921875,1.0,819.8995361328125,11
310,867.9099731445312,1.0,819.8995361328125,11
311,858.8304443359375,1.0,819.8995361328125,11
312,842.0606689453125,1.0,819.8995361328125,11
313,833.8246459960938,1.0,819.8995361328125,11
314,840.3241577148438,1.0,819.8995361328125,11
315,829.408935546875,1.0,819.8995361328125,11
316,806.8839111328125,1.0,13.015625,1
317,799.2432250976562,1.0,13.015625,1
318,798.8958740234375,1.0,13.015625,1
319,809.1661376953125,1.0,13.015625,1
320,822.3140869140625,1.0,13.015625,1
321,831.1951293945312,1.0,13.015625,1
322,837.0,1.0,13.015625,1
323,829.4000244140625,1.0,13.015625,1
324,831.9000244140625,1.0,13.015625,1
325,821.0,1.0,13.015625,1
326,822.2000122070312,1.0,13.015625,1
327,812.8499755859375,1.0,13.015625,1
328,810.5499877929688,1.0,13.015625,1
329,818.0,1.0,13.015625,1
330,815.4500122070312,1.0,13.015625,1
331,824.8499755859375,1.0,13.015625,1
332,835.3499755859375,1.0,13.015625,1
333,838.5499877929688,1.0,13.015625,1
334,886.25,1.0,13.015625,1
335,899.4500122070312,1.0,13.015625,1
336,952.1500244140625,1.0,13.015625,1
337,986.0,1.0,13.015625,1
338,990.0,1.0,13.015625,1
339,982.0999755859375,1.0,13.015625,1
340,978.2999877929688,1.0,13.015625,1
341,980.25,1.0,13.015625,1
342,979.2999877929688,1.0,13.015625,1
343,978.0,1.0,13.015625,1
344,978.8499755859375,1.0,13.015625,1
345,971.7999877929688,1.0,13.015625,1
346,979.0499877929688,1.0,13.015625,1
347,971.1500244140625,1.0,13.015625,1
348,1001.0,1.0,13.015625,1
349,991.0499877929688,1.0,13.015625,1
350,994.9000244140625,1.0,13.015625,1
351,1008.3499755859375,1.0,13.015625,1
352,996.5999755859375,1.0,13.015625,1
353,983.75,1.0,13.015625,1
354,945.0499877929688,1.0,13.015625,1
355,934.0,1.0,13.015625,1
356,952.4500122070312,1.0,13.015625,1
357,964.4000244140625,1.0,13.015625,1
358,971.3499755859375,1.0,13.015625,1
359,973.9500122070312,1.0,13.015625,1
360,950.7999877929688,1.0,13.015625,1
361,930.2999877929688,1.0,13.015625,1
362,919.2000122070312,1.0,13.015625,1
363,917.7999877929688,1.0,13.015625,1
364,903.7999877929688,1.0,13.015625,1
365,904.3499755859375,1.0,13.015625,1
366,914.5499877929688,1.0,13.015625,1
367,908.9500122070312,1.0,13.015625,1
368,896.8499755859375,1.0,13.015625,1
369,946.0,1.0,13.015625,1
370,939.7999877929688,1.0,13.015625,1
371,939.5499877929688,1.0,13.015625,1
372,940.0499877929688,1.0,13.015625,1
373,925.0499877929688,1.0,13.015625,1
374,930.0999755859375,1.0,13.015625,1
375,925.7000122070312,1.0,13.015625,1
376,918.0499877929688,1.0,13.015625,1
377,921.1500244140625,1.0,13.015625,1
378,947.1500244140625,1.0,13.015625,1
379,948.9500122070312,1.0,13.015625,1
380,961.1500244140625,1.0,13.015625,1
381,934.1500244140625,1.0,13.015625,1
382,927.8499755859375,1.0,13.015625,1
383,923.8499755859375,1.0,13.015625,1
384,910.4000244140625,1.0,13.015625,1
385,906.8499755859375,1.0,13.015625,1
386,906.5499877929688,1.0,13.015625,1
387,902.2000122070312,1.0,13.015625,1
388,908.7999877929688,1.0,13.015625,1
389,913.9000244140625,1.0,13.015625,1
390,913.0499877929688,1.0,13.015625,1
391,896.2999877929688,1.0,13.015625,1
392,895.25,1.0,13.015625,1
